######################################

N = 50

numero | frecuencia       | porcentaje
--------------------------------------
20     | 217              | 0.021700
21     | 198              | 0.019800
22     | 196              | 0.019600
23     | 196              | 0.019600
24     | 201              | 0.020100
25     | 193              | 0.019300
26     | 195              | 0.019500
27     | 210              | 0.021000
28     | 191              | 0.019100
29     | 210              | 0.021000
30     | 210              | 0.021000
31     | 200              | 0.020000
32     | 201              | 0.020100
33     | 189              | 0.018900
34     | 189              | 0.018900
35     | 220              | 0.022000
36     | 183              | 0.018300
37     | 218              | 0.021800
38     | 169              | 0.016900
39     | 188              | 0.018800
40     | 211              | 0.021100
41     | 223              | 0.022300
42     | 209              | 0.020900
43     | 229              | 0.022900
44     | 190              | 0.019000
45     | 208              | 0.020800
46     | 196              | 0.019600
47     | 182              | 0.018200
48     | 216              | 0.021600
49     | 195              | 0.019500
50     | 205              | 0.020500
51     | 204              | 0.020400
52     | 186              | 0.018600
53     | 176              | 0.017600
54     | 218              | 0.021800
55     | 206              | 0.020600
56     | 183              | 0.018300
57     | 201              | 0.020100
58     | 202              | 0.020200
59     | 192              | 0.019200
60     | 192              | 0.019200
61     | 190              | 0.019000
62     | 185              | 0.018500
63     | 218              | 0.021800
64     | 216              | 0.021600
65     | 211              | 0.021100
66     | 206              | 0.020600
67     | 188              | 0.018800
68     | 180              | 0.018000
69     | 208              | 0.020800

No generados: 0

Error relativo: 0.150754
La distribucion NO es uniforme

Tiempo de ejecucion: 0.000267s

######################################

N = 100'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 2023             | 0.020230
21     | 2031             | 0.020310
22     | 1992             | 0.019920
23     | 1984             | 0.019840
24     | 1991             | 0.019910
25     | 1971             | 0.019710
26     | 2032             | 0.020320
27     | 2032             | 0.020320
28     | 2033             | 0.020330
29     | 1991             | 0.019910
30     | 1997             | 0.019970
31     | 1950             | 0.019500
32     | 1999             | 0.019990
33     | 2062             | 0.020620
34     | 1990             | 0.019900
35     | 2083             | 0.020830
36     | 1969             | 0.019690
37     | 1932             | 0.019320
38     | 1949             | 0.019490
39     | 1987             | 0.019870
40     | 1961             | 0.019610
41     | 2010             | 0.020100
42     | 2007             | 0.020070
43     | 1969             | 0.019690
44     | 1931             | 0.019310
45     | 1991             | 0.019910
46     | 1954             | 0.019540
47     | 2063             | 0.020630
48     | 1991             | 0.019910
49     | 1989             | 0.019890
50     | 2004             | 0.020040
51     | 2016             | 0.020160
52     | 2047             | 0.020470
53     | 2037             | 0.020370
54     | 1949             | 0.019490
55     | 2070             | 0.020700
56     | 1960             | 0.019600
57     | 1984             | 0.019840
58     | 2056             | 0.020560
59     | 2023             | 0.020230
60     | 1969             | 0.019690
61     | 2082             | 0.020820
62     | 1961             | 0.019610
63     | 2039             | 0.020390
64     | 1971             | 0.019710
65     | 2032             | 0.020320
66     | 2016             | 0.020160
67     | 2008             | 0.020080
68     | 1921             | 0.019210
69     | 1991             | 0.019910

No generados: 0

Error relativo: 0.040460
La distribucion NO es uniforme

Tiempo de ejecucion: 0.001527s

######################################

N = 1'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 20082            | 0.020082
21     | 19989            | 0.019989
22     | 20254            | 0.020254
23     | 20100            | 0.020100
24     | 19878            | 0.019878
25     | 19953            | 0.019953
26     | 20005            | 0.020005
27     | 20201            | 0.020201
28     | 19913            | 0.019913
29     | 19778            | 0.019778
30     | 19931            | 0.019931
31     | 20288            | 0.020288
32     | 19779            | 0.019779
33     | 20083            | 0.020083
34     | 20075            | 0.020075
35     | 20060            | 0.020060
36     | 20011            | 0.020011
37     | 20053            | 0.020053
38     | 20169            | 0.020169
39     | 19812            | 0.019812
40     | 20242            | 0.020242
41     | 19834            | 0.019834
42     | 19893            | 0.019893
43     | 20026            | 0.020026
44     | 19898            | 0.019898
45     | 19913            | 0.019913
46     | 19979            | 0.019979
47     | 19966            | 0.019966
48     | 19798            | 0.019798
49     | 20159            | 0.020159
50     | 20267            | 0.020267
51     | 19730            | 0.019730
52     | 20140            | 0.020140
53     | 20018            | 0.020018
54     | 20164            | 0.020164
55     | 20138            | 0.020138
56     | 19907            | 0.019907
57     | 19990            | 0.019990
58     | 20004            | 0.020004
59     | 19908            | 0.019908
60     | 19884            | 0.019884
61     | 19904            | 0.019904
62     | 20080            | 0.020080
63     | 20094            | 0.020094
64     | 20174            | 0.020174
65     | 20018            | 0.020018
66     | 19758            | 0.019758
67     | 19883            | 0.019883
68     | 19909            | 0.019909
69     | 19908            | 0.019908

No generados: 0

Error relativo: 0.013944
La distribucion NO es uniforme

Tiempo de ejecucion: 0.014750s

######################################

N = 10'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 199719           | 0.019972
21     | 200787           | 0.020079
22     | 200521           | 0.020052
23     | 199864           | 0.019986
24     | 200924           | 0.020092
25     | 199718           | 0.019972
26     | 200352           | 0.020035
27     | 200200           | 0.020020
28     | 199800           | 0.019980
29     | 199966           | 0.019997
30     | 199061           | 0.019906
31     | 199988           | 0.019999
32     | 200538           | 0.020054
33     | 199630           | 0.019963
34     | 201184           | 0.020118
35     | 200646           | 0.020065
36     | 200096           | 0.020010
37     | 199914           | 0.019991
38     | 200056           | 0.020006
39     | 199896           | 0.019990
40     | 199850           | 0.019985
41     | 199989           | 0.019999
42     | 200160           | 0.020016
43     | 200364           | 0.020036
44     | 199659           | 0.019966
45     | 200247           | 0.020025
46     | 200035           | 0.020003
47     | 200371           | 0.020037
48     | 199242           | 0.019924
49     | 200255           | 0.020025
50     | 199860           | 0.019986
51     | 199586           | 0.019959
52     | 199205           | 0.019921
53     | 199515           | 0.019951
54     | 200062           | 0.020006
55     | 199481           | 0.019948
56     | 199821           | 0.019982
57     | 199658           | 0.019966
58     | 199928           | 0.019993
59     | 199823           | 0.019982
60     | 200072           | 0.020007
61     | 199168           | 0.019917
62     | 199972           | 0.019997
63     | 199229           | 0.019923
64     | 200709           | 0.020071
65     | 200174           | 0.020017
66     | 199776           | 0.019978
67     | 200406           | 0.020041
68     | 199731           | 0.019973
69     | 200792           | 0.020079

No generados: 0

Error relativo: 0.005307
La distribucion NO es uniforme

Tiempo de ejecucion: 0.139789s

######################################

N = 100'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 2000320          | 0.020003
21     | 2000505          | 0.020005
22     | 1999364          | 0.019994
23     | 1999970          | 0.020000
24     | 1997277          | 0.019973
25     | 1999405          | 0.019994
26     | 1999550          | 0.019996
27     | 2000611          | 0.020006
28     | 2002003          | 0.020020
29     | 2000247          | 0.020002
30     | 1997829          | 0.019978
31     | 1998747          | 0.019987
32     | 1998787          | 0.019988
33     | 1998711          | 0.019987
34     | 2000922          | 0.020009
35     | 2002669          | 0.020027
36     | 2000101          | 0.020001
37     | 1999237          | 0.019992
38     | 1999162          | 0.019992
39     | 2000493          | 0.020005
40     | 2002130          | 0.020021
41     | 2000884          | 0.020009
42     | 2001714          | 0.020017
43     | 1998830          | 0.019988
44     | 1999437          | 0.019994
45     | 2000043          | 0.020000
46     | 2000855          | 0.020009
47     | 2001433          | 0.020014
48     | 1999849          | 0.019998
49     | 2000399          | 0.020004
50     | 1999981          | 0.020000
51     | 2000077          | 0.020001
52     | 1999947          | 0.019999
53     | 2000739          | 0.020007
54     | 2001669          | 0.020017
55     | 1998159          | 0.019982
56     | 1998360          | 0.019984
57     | 1998214          | 0.019982
58     | 1997883          | 0.019979
59     | 2001983          | 0.020020
60     | 1998067          | 0.019981
61     | 2000870          | 0.020009
62     | 2000280          | 0.020003
63     | 2000081          | 0.020001
64     | 2000238          | 0.020002
65     | 1999425          | 0.019994
66     | 2002328          | 0.020023
67     | 2001389          | 0.020014
68     | 1999772          | 0.019998
69     | 1999054          | 0.019991

No generados: 0

Error relativo: 0.001348
La distribucion NO es uniforme

Tiempo de ejecucion: 1.346910s

######################################

N = 1'000'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 19996261         | 0.019996
21     | 20005499         | 0.020005
22     | 20003208         | 0.020003
23     | 20005530         | 0.020006
24     | 20000785         | 0.020001
25     | 19998694         | 0.019999
26     | 20007363         | 0.020007
27     | 20000207         | 0.020000
28     | 19999217         | 0.019999
29     | 20002246         | 0.020002
30     | 19994504         | 0.019995
31     | 20005641         | 0.020006
32     | 19996702         | 0.019997
33     | 20002055         | 0.020002
34     | 20006283         | 0.020006
35     | 20002953         | 0.020003
36     | 19999677         | 0.020000
37     | 19997244         | 0.019997
38     | 20001983         | 0.020002
39     | 20001472         | 0.020001
40     | 19988335         | 0.019988
41     | 19996245         | 0.019996
42     | 19996790         | 0.019997
43     | 19997085         | 0.019997
44     | 20003716         | 0.020004
45     | 20004890         | 0.020005
46     | 20009425         | 0.020009
47     | 19997088         | 0.019997
48     | 19998756         | 0.019999
49     | 20002481         | 0.020002
50     | 19994893         | 0.019995
51     | 19987829         | 0.019988
52     | 19997428         | 0.019997
53     | 20001979         | 0.020002
54     | 20005467         | 0.020005
55     | 20001216         | 0.020001
56     | 20004270         | 0.020004
57     | 19991367         | 0.019991
58     | 20000531         | 0.020001
59     | 20000368         | 0.020000
60     | 20004748         | 0.020005
61     | 19999605         | 0.020000
62     | 19994757         | 0.019995
63     | 19991087         | 0.019991
64     | 20002503         | 0.020003
65     | 19993000         | 0.019993
66     | 19994007         | 0.019994
67     | 19994684         | 0.019995
68     | 20007239         | 0.020007
69     | 20010685         | 0.020011

No generados: 0

Error relativo: 0.000571
La distribucion NO es uniforme

Tiempo de ejecucion: 13.759525s

######################################

N = 10'000'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 199985602        | 0.019999
21     | 199969677        | 0.019997
22     | 200023675        | 0.020002
23     | 199990822        | 0.019999
24     | 199982774        | 0.019998
25     | 200005485        | 0.020001
26     | 200023025        | 0.020002
27     | 200001792        | 0.020000
28     | 200014167        | 0.020001
29     | 200012400        | 0.020001
30     | 200017410        | 0.020002
31     | 200000849        | 0.020000
32     | 199986369        | 0.019999
33     | 199980409        | 0.019998
34     | 200013327        | 0.020001
35     | 200012679        | 0.020001
36     | 200001552        | 0.020000
37     | 200011753        | 0.020001
38     | 199990204        | 0.019999
39     | 199981667        | 0.019998
40     | 200005061        | 0.020001
41     | 200001700        | 0.020000
42     | 199997267        | 0.020000
43     | 199996441        | 0.020000
44     | 200011683        | 0.020001
45     | 199990537        | 0.019999
46     | 199991865        | 0.019999
47     | 200018704        | 0.020002
48     | 199984988        | 0.019998
49     | 199986228        | 0.019999
50     | 200003641        | 0.020000
51     | 200029079        | 0.020003
52     | 199971208        | 0.019997
53     | 200000081        | 0.020000
54     | 199985287        | 0.019999
55     | 200017409        | 0.020002
56     | 200008175        | 0.020001
57     | 199987808        | 0.019999
58     | 199995826        | 0.020000
59     | 199988029        | 0.019999
60     | 199991090        | 0.019999
61     | 200010822        | 0.020001
62     | 199998203        | 0.020000
63     | 200004477        | 0.020000
64     | 200008509        | 0.020001
65     | 200003683        | 0.020000
66     | 200013621        | 0.020001
67     | 199989402        | 0.019999
68     | 200005050        | 0.020001
69     | 199998482        | 0.020000

No generados: 0

Error relativo: 0.000149
La distribucion NO es uniforme

Tiempo de ejecucion: 133.975615s

######################################

N = 100'000'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 1999974148       | 0.020000
21     | 1999978613       | 0.020000
22     | 2000015354       | 0.020000
23     | 2000004103       | 0.020000
24     | 1999994457       | 0.020000
25     | 1999967325       | 0.020000
26     | 2000041345       | 0.020000
27     | 2000024365       | 0.020000
28     | 2000006987       | 0.020000
29     | 2000003338       | 0.020000
30     | 2000008255       | 0.020000
31     | 1999953577       | 0.020000
32     | 2000030580       | 0.020000
33     | 2000065956       | 0.020001
34     | 1999920790       | 0.019999
35     | 1999976156       | 0.020000
36     | 1999979859       | 0.020000
37     | 2000094405       | 0.020001
38     | 2000024910       | 0.020000
39     | 2000011962       | 0.020000
40     | 1999989320       | 0.020000
41     | 2000038343       | 0.020000
42     | 2000006325       | 0.020000
43     | 1999986900       | 0.020000
44     | 1999973975       | 0.020000
45     | 2000025218       | 0.020000
46     | 2000083105       | 0.020001
47     | 2000085444       | 0.020001
48     | 2000011916       | 0.020000
49     | 2000031967       | 0.020000
50     | 1999986729       | 0.020000
51     | 1999936480       | 0.019999
52     | 2000033904       | 0.020000
53     | 1999988338       | 0.020000
54     | 1999928707       | 0.019999
55     | 2000047221       | 0.020000
56     | 1999934829       | 0.019999
57     | 1999994862       | 0.020000
58     | 1999937918       | 0.019999
59     | 1999955752       | 0.020000
60     | 1999998983       | 0.020000
61     | 2000025211       | 0.020000
62     | 2000022113       | 0.020000
63     | 1999947349       | 0.019999
64     | 2000032120       | 0.020000
65     | 1999938202       | 0.019999
66     | 1999941821       | 0.019999
67     | 1999995487       | 0.020000
68     | 2000018758       | 0.020000
69     | 2000026172       | 0.020000

No generados: 0

Error relativo: 0.000043
La distribucion NO es uniforme

Tiempo de ejecucion: 1325.830907

######################################

N = 1'000'000'000'000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 20000088258      | 0.020000
21     | 20000083297      | 0.020000
22     | 19999815519      | 0.020000
23     | 20000282293      | 0.020000
24     | 20000058732      | 0.020000
25     | 20000253734      | 0.020000
26     | 20000224130      | 0.020000
27     | 20000181563      | 0.020000
28     | 19999965108      | 0.020000
29     | 19999864998      | 0.020000
30     | 19999925169      | 0.020000
31     | 20000084834      | 0.020000
32     | 19999826437      | 0.020000
33     | 19999829694      | 0.020000
34     | 19999986385      | 0.020000
35     | 20000094027      | 0.020000
36     | 19999923641      | 0.020000
37     | 19999879348      | 0.020000
38     | 20000042721      | 0.020000
39     | 20000140711      | 0.020000
40     | 20000014112      | 0.020000
41     | 20000053899      | 0.020000
42     | 19999905787      | 0.020000
43     | 19999944013      | 0.020000
44     | 19999873486      | 0.020000
45     | 20000123661      | 0.020000
46     | 19999893879      | 0.020000
47     | 19999893857      | 0.020000
48     | 19999972841      | 0.020000
49     | 20000024415      | 0.020000
50     | 19999846933      | 0.020000
51     | 19999881381      | 0.020000
52     | 20000026601      | 0.020000
53     | 19999990828      | 0.020000
54     | 19999860867      | 0.020000
55     | 20000095749      | 0.020000
56     | 20000018116      | 0.020000
57     | 19999876441      | 0.020000
58     | 19999963709      | 0.020000
59     | 19999941078      | 0.020000
60     | 19999938559      | 0.020000
61     | 19999854988      | 0.020000
62     | 19999861612      | 0.020000
63     | 20000112861      | 0.020000
64     | 19999973660      | 0.020000
65     | 20000118840      | 0.020000
66     | 19999951289      | 0.020000
67     | 20000141980      | 0.020000
68     | 20000143098      | 0.020000
69     | 20000150397      | 0.020000

No generados: 0

Error relativo: 0.000012
La distribucion NO es uniforme

Tiempo de ejecucion: 13248.101170s

